Date,Time,Lab_Temp_C,Lab_Pressure_kPa,Lab_Rel_Humidity,Gas_Flow_LPM,FlowSens_Gas_Temp_C,Thermocouple1_Temp_C,Thermocouple2_Temp_C,Purge_Gas
1/31/2025,54:58.6,24.2,97.83,27.492,0,23.66,22,21.37,None
1/31/2025,54:58.8,24.2,97.832,27.475,0,23.635,22,21.37,None
1/31/2025,54:59.1,24.2,97.832,27.475,0,23.635,21.93,21.44,None
1/31/2025,54:59.3,24.2,97.832,27.475,0,23.635,21.93,21.44,None
1/31/2025,54:59.6,24.2,97.831,27.47,0,23.65,21.93,21.44,None
1/31/2025,54:59.8,24.2,97.831,27.47,0,23.65,21.98,21.44,None
1/31/2025,55:00.1,24.2,97.831,27.47,0,23.65,21.98,21.44,None
1/31/2025,55:00.3,24.2,97.829,27.475,0,23.65,21.91,21.44,None
1/31/2025,55:00.6,24.2,97.829,27.475,0,23.65,21.91,21.48,None
1/31/2025,55:00.8,24.2,97.829,27.475,0,23.65,21.91,21.48,None
1/31/2025,55:01.1,24.2,97.826,27.497,0,23.65,21.94,21.48,None
1/31/2025,55:01.3,24.2,97.826,27.497,0,23.65,21.94,21.5,None
1/31/2025,55:01.6,24.2,97.826,27.497,0,23.65,21.94,21.5,None
1/31/2025,55:01.9,24.2,97.829,27.475,0,23.67,21.87,21.5,None
1/31/2025,55:02.1,24.2,97.829,27.475,0,23.67,21.87,21.43,None
1/31/2025,55:02.3,24.19,97.831,27.485,0,23.62,21.87,21.43,None
1/31/2025,55:02.6,24.19,97.831,27.485,0,23.62,21.91,21.43,None
1/31/2025,55:02.9,24.19,97.831,27.485,0,23.62,21.91,21.5,None
1/31/2025,55:03.1,24.19,97.83,27.474,0,23.61,21.91,21.5,None
1/31/2025,55:03.4,24.19,97.83,27.474,0,23.61,21.93,21.5,None
1/31/2025,55:03.6,24.19,97.83,27.474,0,23.61,21.93,21.48,None
1/31/2025,55:03.9,24.19,97.832,27.48,0,23.635,21.93,21.48,None
1/31/2025,55:04.1,24.19,97.832,27.48,0,23.635,21.95,21.5,None
1/31/2025,55:04.4,24.19,97.832,27.48,0,23.635,21.95,21.5,None
1/31/2025,55:04.6,24.19,97.832,27.502,0,23.63,21.95,21.5,None
1/31/2025,55:04.9,24.19,97.832,27.502,0,23.63,21.91,21.41,None
1/31/2025,55:05.1,24.19,97.832,27.502,0,23.63,21.91,21.41,None
1/31/2025,55:05.4,24.2,97.832,27.491,0,23.68,21.93,21.41,None
1/31/2025,55:05.6,24.2,97.832,27.491,0,23.68,21.93,21.5,None
1/31/2025,55:05.9,24.2,97.832,27.491,0,23.68,21.93,21.5,None
1/31/2025,55:06.1,24.2,97.832,27.497,0,23.645,21.95,21.5,None
1/31/2025,55:06.4,24.2,97.832,27.497,0,23.645,21.95,21.45,None
1/31/2025,55:06.7,24.2,97.833,27.486,0,23.57,21.95,21.45,None
1/31/2025,55:06.9,24.2,97.833,27.486,0,23.57,21.88,21.45,None
1/31/2025,55:07.2,24.2,97.833,27.486,0,23.57,21.88,21.48,None
1/31/2025,55:07.4,24.2,97.832,27.48,0,23.635,21.88,21.48,None
1/31/2025,55:07.7,24.2,97.832,27.48,0,23.635,21.93,21.48,None
1/31/2025,55:07.9,24.2,97.832,27.48,0,23.635,21.93,21.48,None
1/31/2025,55:08.2,24.2,97.834,27.475,0,23.67,21.93,21.48,None
1/31/2025,55:08.4,24.2,97.834,27.475,0,23.67,21.96,21.42,None
1/31/2025,55:08.7,24.2,97.834,27.475,0,23.67,21.96,21.42,None
1/31/2025,55:08.9,24.2,97.834,27.486,0,23.655,21.96,21.42,None
1/31/2025,55:09.2,24.2,97.834,27.486,0,23.655,21.89,21.52,None
1/31/2025,55:09.4,24.2,97.834,27.486,0,23.655,21.89,21.52,None
1/31/2025,55:09.7,24.2,97.833,27.475,0,23.635,21.93,21.52,None
1/31/2025,55:09.9,24.2,97.833,27.475,0,23.635,21.93,21.52,None
1/31/2025,55:10.2,24.2,97.833,27.475,0,23.635,21.93,21.52,None
1/31/2025,55:10.5,24.2,97.831,27.486,0,23.645,21.98,21.52,None
1/31/2025,55:10.7,24.2,97.831,27.486,0,23.645,21.98,21.5,None
1/31/2025,55:10.9,24.2,97.83,27.475,0,23.645,21.98,21.5,None
1/31/2025,55:11.2,24.2,97.83,27.475,0,23.61,21.98,21.5,None
1/31/2025,55:11.4,24.2,97.83,27.475,0,23.61,21.98,21.55,None
1/31/2025,55:11.7,24.2,97.831,27.48,0,23.64,21.98,21.55,None
1/31/2025,55:11.9,24.2,97.831,27.48,0,23.64,21.91,21.55,None
1/31/2025,55:12.2,24.2,97.831,27.48,0,23.64,21.91,21.52,None
1/31/2025,55:12.4,24.2,97.831,27.497,0,23.67,21.91,21.52,None
1/31/2025,55:12.7,24.2,97.831,27.497,0,23.67,21.89,21.52,None
1/31/2025,55:12.9,24.2,97.831,27.497,0,23.67,21.89,21.52,None
1/31/2025,55:13.2,24.2,97.83,27.475,0,23.67,21.89,21.52,None
1/31/2025,55:13.5,24.2,97.83,27.475,0,23.67,21.98,21.55,None
1/31/2025,55:13.8,24.2,97.83,27.475,0,23.67,21.98,21.55,None
1/31/2025,55:14.0,24.2,97.83,27.464,0,23.64,21.96,21.55,None
1/31/2025,55:14.2,24.2,97.83,27.464,0,23.64,21.96,21.52,None
1/31/2025,55:14.5,24.2,97.83,27.464,0,23.64,21.96,21.52,None
1/31/2025,55:14.8,24.2,97.834,27.475,0,23.58,21.87,21.52,None
1/31/2025,55:15.0,24.2,97.834,27.475,0,23.58,21.87,21.44,None
1/31/2025,55:15.3,24.2,97.834,27.475,0,23.58,21.87,21.44,None
1/31/2025,55:15.5,24.2,97.832,27.486,0,23.635,21.98,21.44,None
1/31/2025,55:15.8,24.2,97.832,27.486,0,23.635,21.98,21.46,None
1/31/2025,55:16.0,24.2,97.83,27.481,0,23.63,21.98,21.46,None
1/31/2025,55:16.3,24.2,97.83,27.481,0,23.63,21.94,21.46,None
1/31/2025,55:16.5,24.2,97.83,27.481,0,23.63,21.94,21.44,None
1/31/2025,55:16.8,24.2,97.83,27.481,0,23.67,21.94,21.44,None
1/31/2025,55:17.0,24.2,97.83,27.481,0,23.67,21.89,21.44,None
1/31/2025,55:17.3,24.2,97.83,27.481,0,23.67,21.89,21.48,None
1/31/2025,55:17.5,24.2,97.83,27.481,0,23.705,21.89,21.48,None
1/31/2025,55:17.8,24.2,97.83,27.481,0,23.705,21.98,21.48,None
1/31/2025,55:18.0,24.2,97.83,27.481,0,23.705,21.98,21.48,None
1/31/2025,55:18.3,24.2,97.832,27.481,0,23.685,21.98,21.48,None
1/31/2025,55:18.5,24.2,97.832,27.481,0,23.685,21.91,21.44,None
1/31/2025,55:18.8,24.2,97.832,27.481,0,23.685,21.91,21.44,None
1/31/2025,55:19.1,24.2,97.831,27.475,0,23.59,21.94,21.44,None
1/31/2025,55:19.3,24.2,97.831,27.475,0,23.59,21.94,21.43,None
1/31/2025,55:19.5,24.2,97.831,27.475,0,23.59,21.94,21.43,None
1/31/2025,55:19.8,24.2,97.831,27.496,0,23.63,21.93,21.43,None
1/31/2025,55:20.1,24.2,97.831,27.496,0,23.63,21.93,21.45,None
1/31/2025,55:20.3,24.19,97.831,27.474,0,23.605,21.93,21.45,None
1/31/2025,55:20.5,24.19,97.831,27.474,0,23.605,21.93,21.45,None
1/31/2025,55:20.8,24.19,97.831,27.474,0,23.605,21.93,21.46,None
1/31/2025,55:21.0,24.19,97.83,27.501,0,23.67,21.93,21.46,None
